comments,label,Related With Race,Sentiment
"不如打车
",-1,0,-1.0
"公司没车~
",-1,0,-1.0
"《优秀的基因》
",-1,0,-1.0
"那不是榴莲吗什么头巾
",-1,0,-1.0
"广州
",-1,0,-1.0
"已经开始笑了
",-1,0,-1.0
"暗力
",-1,0,-1.0
"该，舒服，哎~
",-1,0,-1.0
"白人做的对
",1,1,0.0
"黑人还是挺善良的，只是个别比较那个
",2,1,0.0
"裁判不专业，这才哪到哪，就喊停
",-1,0,-1.0
"哇，南京大学
",-1,0,-1.0
"5
",-1,0,-1.0
"请加大力度
",-1,0,-1.0
"怎么还有个蜡像
",-1,0,-1.0
"血压飙升
",-1,0,-1.0
"小林贯彻一夫一妻制了（doge）
",-1,0,-1.0
"黑人肌肉线条确实漂亮
",2,1,0.0
"因为不想回去
",1,1,0.0
"光宗耀祖​
",0,1,1.0
"串串
",-1,0,-1.0
"卧槽哈哈哈
",-1,0,-1.0
"新鲜芒果便宜，谁吃干
",-1,0,-1.0
"急了就输了，给自己找个台阶下
",-1,0,-1.0
"这人是马化腾？
",-1,0,-1.0
"我觉得幼杀很给这人面子哈哈哈
",-1,0,-1.0
"哈哈哈哈哈
",-1,0,-1.0
"哈哈哈哈哈
",-1,0,-1.0
"女主换成中国人就可以了
",1,1,0.0
"提款成功
",-1,0,-1.0
"感觉自己好白
",0,1,1.0
"乳法者必死
",-1,0,-1.0
"美国黑人和非洲黑人是不一样的
",1,1,0.0
"油和盐都拿了……醉了
",-1,0,-1.0
"致敬
",-1,0,-1.0
"？？？？？？？
",-1,0,-1.0
"迪士尼应该反思
",-1,0,-1.0
"动物配得上人类？
",0,1,1.0
"他们慕白好吗？
",0,1,1.0
"不要，保持基因干净
",0,1,1.0
"流浪地球他们看不了，毕竟利己主义理解不了集体主义的观念
",0,1,1.0
"看过！
",-1,0,-1.0
"不可以不可以不可以
",-1,0,-1.0
"如果是在中国，店老板已经开始道歉了
",-1,0,-1.0
"俩玩意实属有点门当户对
",-1,0,-1.0
"我现在已经不生气
",-1,0,-1.0
"真贵
",-1,0,-1.0
"谢谢
",-1,0,-1.0
"不适
",0,1,1.0
"哈哈哈 笑死我了
",-1,0,-1.0
"李白我真是服了
",-1,0,-1.0
"重新定义《能吃苦！》
",-1,0,-1.0
"一群暴风兵
",-1,0,-1.0
"不喜欢
",-1,0,-1.0
"都好看
",-1,0,-1.0
"这种女的，不知道怎么说，脑子可以说没长
",0,1,1.0
"中国人喝白酒也是饭桌上吃菜喝酒，也不是直接拿起来就大口干杯
",1,1,0.0
"讨厌
",0,1,1.0
"还跟他聊个屁呀，直接走人嘛。
",-1,0,-1.0
"不是的，这群黑人被长期挑选的
",1,1,0.0
"笑死，只有脸不一样，你没有中华的魂，我祖辈都在这片大地上生长
",0,1,1.0
"凯乐奇计划纯属造谣
",-1,0,-1.0
"欢迎NM
",0,1,1.0
"广式普通话= =
",1,1,0.0
"你想笑死老子 好继承老子的蚂蚁花呗吗
",-1,0,-1.0
"好好好
",-1,0,-1.0
"登登咚！
",-1,0,-1.0
"好
",-1,0,-1.0
"新概念音游
",-1,0,-1.0
"中国怎么什么JB话题都聊，学习管你P事？？？
",-1,0,-1.0
"这个导演编剧的父母就是黑人
",1,1,0.0
"拍的什么玩意
",0,1,1.0
"右边的五官好看
",-1,0,-1.0
"有一种看见蟑螂的恐惧
",0,1,1.0
"啊？？
",-1,0,-1.0
"迈尔斯多可爱啊，那大眼睛
",-1,0,-1.0
"李白
",-1,0,-1.0
"然而现实是社区这些对这个就没重视过
",-1,0,-1.0
"相信我，只会更糟
",-1,0,-1.0
"N0！
",-1,0,-1.0
"等以后被爆了就后悔了
",-1,0,-1.0
"然而现在被你们零元购抢的就剩7家
",0,1,1.0
"这个问题很蠢
",-1,0,-1.0
"电脑做错了什么，为什么孩子都爱上ta，电脑很无辜的好吗？
",-1,0,-1.0
"法国已经沦陷了
",-1,0,-1.0
"中国人不是以白为美吗？什么时候喜欢老黑了？
",0,1,1.0
"说的太好了！一点都没错！
",2,1,0.0
"哈哈哈
",-1,0,-1.0
"八块腹肌我真笑死，这个配音女自己喜欢吧
",-1,0,-1.0
